"","genus_species","species","genus","family","order","publications","citations","journals","years_publishing","x","y"
"3021","Microtus lusitanicus","lusitanicus","Microtus","Cricetidae","Rodentia",30,381,23,37,-8.192873,41.45877
"3022","Microtus majori","majori","Microtus","Cricetidae","Rodentia",11,85,10,46,38,41.00759
"3023","Microtus maximowiczii","maximowiczii","Microtus","Cricetidae","Rodentia",20,306,17,19,135,48.0388
"3024","Microtus mexicanus","mexicanus","Microtus","Cricetidae","Rodentia",22,403,18,37,-100.118,18.79219
"3025","Microtus middendorffii","middendorffii","Microtus","Cricetidae","Rodentia",2,15,2,8,NA,NA
"3026","Microtus miurus","miurus","Microtus","Cricetidae","Rodentia",20,406,18,37,-148.4389,62.31231
"3027","Microtus mongolicus","mongolicus","Microtus","Cricetidae","Rodentia",3,72,3,12,106.3248,48.36879
"3028","Microtus montanus","montanus","Microtus","Cricetidae","Rodentia",201,5112,102,63,-115.2512,43.33955
"3029","Microtus montebelli","montebelli","Microtus","Cricetidae","Rodentia",84,517,52,85,139.3408,37.37747
"3030","Microtus mujanensis","mujanensis","Microtus","Cricetidae","Rodentia",4,51,3,13,NA,NA
"3031","Microtus multiplex","multiplex","Microtus","Cricetidae","Rodentia",5,52,5,29,8.786978,45.49511
"3032","Microtus nasarovi","nasarovi","Microtus","Cricetidae","Rodentia",5,40,4,18,NA,NA
"3033","Microtus oaxacensis","oaxacensis","Microtus","Cricetidae","Rodentia",4,81,4,35,-96.33586,17.67702
"3034","Microtus ochrogaster","ochrogaster","Microtus","Cricetidae","Rodentia",895,33087,253,59,-87.90988,40.22181
"3035","Microtus oeconomus","oeconomus","Microtus","Cricetidae","Rodentia",455,8011,201,71,9.259969,61.59932
"3036","Microtus oregoni","oregoni","Microtus","Cricetidae","Rodentia",38,1135,23,66,-122.6438,45.07868
"3037","Microtus paradoxus","paradoxus","Microtus","Cricetidae","Rodentia",4,31,4,14,51,33.00567
"3038","Microtus pennsylvanicus","pennsylvanicus","Microtus","Cricetidae","Rodentia",826,22700,249,84,-79.89798,42.26909
"3039","Microtus pinetorum","pinetorum","Microtus","Cricetidae","Rodentia",154,3127,98,54,-83.0548,37.50547
"3040","Microtus qazvinensis","qazvinensis","Microtus","Cricetidae","Rodentia",2,10,2,7,47,36.02538
"3041","Microtus quasiater","quasiater","Microtus","Cricetidae","Rodentia",6,83,6,35,-97.66948,20.34503
"3042","Microtus richardsoni","richardsoni","Microtus","Cricetidae","Rodentia",239,7899,125,40,-112.3052,44.5546
"3043","Microtus sachalinensis","sachalinensis","Microtus","Cricetidae","Rodentia",2,99,2,12,143,52.04472
"3044","Microtus savii","savii","Microtus","Cricetidae","Rodentia",39,408,31,40,10.65176,44.36419
"3045","Microtus schelkovnikovi","schelkovnikovi","Microtus","Cricetidae","Rodentia",0,0,0,NA,NA,NA
"3046","Microtus schidlovskii","schidlovskii","Microtus","Cricetidae","Rodentia",4,51,4,23,NA,NA
"3047","Microtus socialis","socialis","Microtus","Cricetidae","Rodentia",94,1484,62,72,51.40338,34.27911
"3048","Microtus subterraneus","subterraneus","Microtus","Cricetidae","Rodentia",68,970,55,39,3.526379,47.70337
"3049","Microtus tatricus","tatricus","Microtus","Cricetidae","Rodentia",8,67,7,22,19,49.01004
"3050","Microtus thomasi","thomasi","Microtus","Cricetidae","Rodentia",20,190,14,25,21.66058,37.69171
"3051","Microtus townsendii","townsendii","Microtus","Cricetidae","Rodentia",42,1399,21,47,-123.344,47.39609
"3052","Microtus transcaspicus","transcaspicus","Microtus","Cricetidae","Rodentia",13,185,10,51,57,29.00484
"3053","Microtus umbrosus","umbrosus","Microtus","Cricetidae","Rodentia",1,21,1,21,1,-1.272222e-14
"3054","Microtus xanthognathus","xanthognathus","Microtus","Cricetidae","Rodentia",11,138,10,48,-149,65.87666
"3055","Millardia gleadowi","gleadowi","Millardia","Muridae","Rodentia",12,134,9,56,67,30.02017
"3056","Millardia kathleenae","kathleenae","Millardia","Muridae","Rodentia",1,13,1,14,95,21
"3057","Millardia kondana","kondana","Millardia","Muridae","Rodentia",4,2,4,3,NA,NA
"3058","Millardia meltada","meltada","Millardia","Muridae","Rodentia",65,333,43,55,67.66287,25.68225
"3059","Mimetillus moloneyi","moloneyi","Mimetillus","Vespertilionidae","Chiroptera",2,32,2,53,31,2.00122
"3060","Mimon bennettii","bennettii","Mimon","Phyllostomidae","Chiroptera",10,570,8,27,-91.45507,17.80605
"3061","Mimon cozumelae","cozumelae","Mimon","Phyllostomidae","Chiroptera",7,42,7,8,-91.49504,18.36119
"3062","Mimon crenulatum","crenulatum","Mimon","Phyllostomidae","Chiroptera",14,174,12,50,-74.46664,3.616026
"3063","Mimon koepckeae","koepckeae","Mimon","Phyllostomidae","Chiroptera",3,15,3,8,-73,-13.00201
"3064","Mindomys hammondi","hammondi","Mindomys","Cricetidae","Rodentia",2,17,2,15,-79,1
"3065","Miniopterus aelleni","aelleni","Miniopterus","Vespertilionidae","Chiroptera",5,86,4,12,45,-18.01135
"3066","Miniopterus ambohitrensis","ambohitrensis","Miniopterus","Vespertilionidae","Chiroptera",1,10,1,7,49,-14.00871
"3067","Miniopterus australis","australis","Miniopterus","Vespertilionidae","Chiroptera",17,349,14,86,151.1808,-32.23126
"3068","Miniopterus brachytragos","brachytragos","Miniopterus","Vespertilionidae","Chiroptera",2,34,2,13,49.6686,-14.34137
"3069","Miniopterus egeri","egeri","Miniopterus","Vespertilionidae","Chiroptera",2,44,2,11,50,-15.00234
"3070","Miniopterus fraterculus","fraterculus","Miniopterus","Vespertilionidae","Chiroptera",4,111,3,20,34.99937,-16.6127
"3071","Miniopterus fuliginosus","fuliginosus","Miniopterus","Vespertilionidae","Chiroptera",42,333,33,18,109,-7.001072
"3072","Miniopterus fuscus","fuscus","Miniopterus","Vespertilionidae","Chiroptera",4,117,4,13,103,4.002442
"3073","Miniopterus gleni","gleni","Miniopterus","Vespertilionidae","Chiroptera",6,88,5,19,46.60861,-18.17894
"3074","Miniopterus griffithsi","griffithsi","Miniopterus","Vespertilionidae","Chiroptera",2,39,2,12,43,-25.00407
"3075","Miniopterus griveaudi","griveaudi","Miniopterus","Vespertilionidae","Chiroptera",7,108,5,12,45,-18.01135
"3076","Miniopterus inflatus","inflatus","Miniopterus","Vespertilionidae","Chiroptera",10,176,10,54,29.66667,0.3333992
"3077","Miniopterus macrocneme","macrocneme","Miniopterus","Vespertilionidae","Chiroptera",0,0,0,NA,166.3365,-21.67956
"3078","Miniopterus maghrebensis","maghrebensis","Miniopterus","Vespertilionidae","Chiroptera",1,21,1,8,-3,33
"3079","Miniopterus magnater","magnater","Miniopterus","Vespertilionidae","Chiroptera",11,395,9,16,105.2421,18.79151
"3080","Miniopterus mahafaliensis","mahafaliensis","Miniopterus","Vespertilionidae","Chiroptera",4,69,3,13,44.66242,-23.35828
"3081","Miniopterus majori","majori","Miniopterus","Vespertilionidae","Chiroptera",7,188,6,18,48.3314,-14.34137
"3082","Miniopterus manavi","manavi","Miniopterus","Vespertilionidae","Chiroptera",8,167,7,19,46.5536,-20.64728
"3083","Miniopterus medius","medius","Miniopterus","Vespertilionidae","Chiroptera",0,0,0,NA,99.39724,9.426086
"3084","Miniopterus minor","minor","Miniopterus","Vespertilionidae","Chiroptera",10,290,9,80,39.49893,-4.506826
"3085","Miniopterus mossambicus","mossambicus","Miniopterus","Vespertilionidae","Chiroptera",2,28,2,9,35,-20.01271
"3086","Miniopterus natalensis","natalensis","Miniopterus","Vespertilionidae","Chiroptera",29,357,26,17,37.00041,-1.334568
"3087","Miniopterus newtoni","newtoni","Miniopterus","Vespertilionidae","Chiroptera",0,0,0,NA,NA,NA
"3088","Miniopterus oceanensis","oceanensis","Miniopterus","Vespertilionidae","Chiroptera",272,4204,149,74,141,-37.00658
"3089","Miniopterus paululus","paululus","Miniopterus","Vespertilionidae","Chiroptera",0,0,0,NA,122.6578,11.69509
"3090","Miniopterus petersoni","petersoni","Miniopterus","Vespertilionidae","Chiroptera",2,37,1,9,47,-25
"3091","Miniopterus pusillus","pusillus","Miniopterus","Vespertilionidae","Chiroptera",11,746,9,23,105.3948,17.44867
"3092","Miniopterus robustior","robustior","Miniopterus","Vespertilionidae","Chiroptera",0,0,0,NA,167,-21
"3093","Miniopterus schreibersii","schreibersii","Miniopterus","Vespertilionidae","Chiroptera",270,4203,149,74,2.21234,44.31542
"3094","Miniopterus shortridgei","shortridgei","Miniopterus","Vespertilionidae","Chiroptera",0,0,0,NA,NA,NA
"3095","Miniopterus sororculus","sororculus","Miniopterus","Vespertilionidae","Chiroptera",4,80,3,11,46.59801,-22.24744
"3096","Miniopterus tristis","tristis","Miniopterus","Vespertilionidae","Chiroptera",3,86,3,51,122.9892,11.94613
"3097","Miopithecus ogouensis","ogouensis","Miopithecus","Cercopithecidae","Primates",5,189,4,18,14,1.000152
"3098","Miopithecus talapoin","talapoin","Miopithecus","Cercopithecidae","Primates",52,1391,39,56,10.3336,1.667719
"3099","Miracinonyx trumani","trumani","Miracinonyx","Felidae","Carnivora",1,2,1,3,NA,NA
"3100","Mirimiri acrodonta","acrodonta","Mirimiri","Pteropodidae","Chiroptera",3,29,2,15,NA,NA
"3101","Mirounga angustirostris","angustirostris","Mirounga","Phocidae","Carnivora",454,13676,162,57,-124.2422,46.5296
"3102","Mirounga leonina","leonina","Mirounga","Phocidae","Carnivora",633,17337,210,108,-60.30479,-63.86676
"3103","Mirza coquereli","coquereli","Mirza","Cheirogaleidae","Primates",14,351,10,28,43,-23.0037
"3104","Mirza zaza","zaza","Mirza","Cheirogaleidae","Primates",8,42,7,9,47,-15
"3105","Mirzamys louiseae","louiseae","Mirzamys","Muridae","Rodentia",0,0,0,NA,NA,NA
"3106","Mirzamys norahae","norahae","Mirzamys","Muridae","Rodentia",0,0,0,NA,NA,NA
"3107","Mogera etigo","etigo","Mogera","Talpidae","Eulipotyphla",0,0,0,NA,NA,NA
"3108","Mogera imaizumii","imaizumii","Mogera","Talpidae","Eulipotyphla",15,126,9,23,139.4061,35.82463
"3109","Mogera insularis","insularis","Mogera","Talpidae","Eulipotyphla",5,73,5,22,109,19.00301
"3110","Mogera kanoana","kanoana","Mogera","Talpidae","Eulipotyphla",0,0,0,NA,121,24.01555
"3111","Mogera robusta","robusta","Mogera","Talpidae","Eulipotyphla",13,301,13,34,128.2065,36.65071
"3112","Mogera tokudae","tokudae","Mogera","Talpidae","Eulipotyphla",5,121,3,22,139,38.02729
"3113","Mogera uchidai","uchidai","Mogera","Talpidae","Eulipotyphla",1,13,1,21,NA,NA
"3114","Mogera wogura","wogura","Mogera","Talpidae","Eulipotyphla",26,278,20,48,127.8631,36.51642
"3115","Molossops aequatorianus","aequatorianus","Molossops","Molossidae","Chiroptera",0,0,0,NA,NA,NA
"3116","Molossops mattogrossensis","mattogrossensis","Molossops","Molossidae","Chiroptera",1,47,1,8,-67,6.003671
"3117","Molossops neglectus","neglectus","Molossops","Molossidae","Chiroptera",14,329,10,29,-58,5.000764
"3118","Molossops temminckii","temminckii","Molossops","Molossidae","Chiroptera",26,313,18,22,-59.92857,-22.80982
"3119","Molossus alvarezi","alvarezi","Molossus","Molossidae","Chiroptera",2,0,2,2,-69,-13.00201
"3120","Molossus aztecus","aztecus","Molossus","Molossidae","Chiroptera",2,18,2,11,-94.67555,16.34257
"3121","Molossus barnesi","barnesi","Molossus","Molossidae","Chiroptera",2,413,2,24,-52.33388,3.66884
"3122","Molossus coibensis","coibensis","Molossus","Molossidae","Chiroptera",9,218,9,52,-80,9.001382
"3123","Molossus currentium","currentium","Molossus","Molossidae","Chiroptera",5,113,5,21,-83.66803,10.33904
"3124","Molossus molossus","molossus","Molossus","Molossidae","Chiroptera",189,2862,116,56,-74.07779,6.406405
"3125","Molossus pretiosus","pretiosus","Molossus","Molossidae","Chiroptera",3,12,3,14,-75.39941,4.202409
"3126","Molossus rufus","rufus","Molossus","Molossidae","Chiroptera",33,340,28,17,-91.1464,17.47413
"3127","Molossus sinaloae","sinaloae","Molossus","Molossidae","Chiroptera",9,682,9,24,-84.66845,10.67777
"3128","Monachus monachus","monachus","Monachus","Phocidae","Carnivora",160,2048,81,72,24.52452,37.91594
"3129","Monodelphis adusta","adusta","Monodelphis","Didelphidae","Didelphimorphia",7,100,6,35,-75,5.577027
"3130","Monodelphis americana","americana","Monodelphis","Didelphidae","Didelphimorphia",22,407,18,36,-43.30075,-21.3171
"3131","Monodelphis arlindoi","arlindoi","Monodelphis","Didelphidae","Didelphimorphia",2,23,2,10,NA,NA
"3132","Monodelphis brevicaudata","brevicaudata","Monodelphis","Didelphidae","Didelphimorphia",16,840,13,41,-57.77295,4.545542
"3133","Monodelphis dimidiata","dimidiata","Monodelphis","Didelphidae","Didelphimorphia",27,555,23,47,-59.45922,-37.49987
"3134","Monodelphis domestica","domestica","Monodelphis","Didelphidae","Didelphimorphia",828,18039,335,43,-59.64942,-20.63567
"3135","Monodelphis emiliae","emiliae","Monodelphis","Didelphidae","Didelphimorphia",9,150,8,38,-67,-11.0017
"3136","Monodelphis gardneri","gardneri","Monodelphis","Didelphidae","Didelphimorphia",1,11,1,10,-73,-11
"3137","Monodelphis glirina","glirina","Monodelphis","Didelphidae","Didelphimorphia",9,86,7,18,-67,-15.00234
"3138","Monodelphis handleyi","handleyi","Monodelphis","Didelphidae","Didelphimorphia",2,17,2,11,NA,NA
"3139","Monodelphis iheringi","iheringi","Monodelphis","Didelphidae","Didelphimorphia",5,34,4,11,-55,-26.01703
"3140","Monodelphis kunsi","kunsi","Monodelphis","Didelphidae","Didelphimorphia",10,137,8,28,-62.33021,-22.34631
"3141","Monodelphis maraxina","maraxina","Monodelphis","Didelphidae","Didelphimorphia",3,41,3,43,NA,NA
"3142","Monodelphis osgoodi","osgoodi","Monodelphis","Didelphidae","Didelphimorphia",6,233,5,19,-67.66444,-15.67579
"3143","Monodelphis palliolata","palliolata","Monodelphis","Didelphidae","Didelphimorphia",1,22,1,10,-66.19902,10.6046
"3144","Monodelphis peruviana","peruviana","Monodelphis","Didelphidae","Didelphimorphia",2,38,2,15,-67,-15.00234
"3145","Monodelphis reigi","reigi","Monodelphis","Didelphidae","Didelphimorphia",3,33,3,12,-59,5
"3146","Monodelphis ronaldi","ronaldi","Monodelphis",NA,NA,0,0,0,NA,NA,NA
"3147","Monodelphis rubida","rubida","Monodelphis","Didelphidae","Didelphimorphia",2,17,2,22,NA,NA
"3148","Monodelphis sanctaerosae","sanctaerosae","Monodelphis","Didelphidae","Didelphimorphia",0,0,0,NA,NA,NA
"3149","Monodelphis scalops","scalops","Monodelphis","Didelphidae","Didelphimorphia",3,21,3,8,-55,-26.01703
"3150","Monodelphis theresa","theresa","Monodelphis","Didelphidae","Didelphimorphia",2,19,2,22,-44,-23.0037
"3151","Monodelphis umbristriatus","umbristriatus","Monodelphis","Didelphidae","Didelphimorphia",0,0,0,NA,NA,NA
"3152","Monodelphis unistriatus","unistriatus","Monodelphis","Didelphidae","Didelphimorphia",0,0,0,NA,NA,NA
"3153","Monodon monoceros","monoceros","Monodon","Monodontidae","Artiodactyla",222,6049,120,92,-66,77.03786
"3154","Monophyllus plethodon","plethodon","Monophyllus","Phyllostomidae","Chiroptera",9,175,6,26,-61.34537,15.70524
"3155","Monophyllus redmani","redmani","Monophyllus","Phyllostomidae","Chiroptera",32,404,18,53,-70.55947,18.56436
"3156","Monticolomys koopmani","koopmani","Monticolomys","Nesomyidae","Rodentia",1,7,1,14,47,-24.01555
"3157","Mops bakarii","bakarii","Mops","Molossidae","Chiroptera",0,0,0,NA,39,-5
"3158","Mops brachypterus","brachypterus","Mops","Molossidae","Chiroptera",1,11,1,14,20,3.000457
"3159","Mops condylurus","condylurus","Mops","Molossidae","Chiroptera",31,1116,21,25,38.00061,-2.00122
"3160","Mops congicus","congicus","Mops","Molossidae","Chiroptera",0,0,0,NA,20,3.000457
"3161","Mops demonstrator","demonstrator","Mops","Molossidae","Chiroptera",0,0,0,NA,29.99908,3.003205
"3162","Mops leucostigma","leucostigma","Mops","Molossidae","Chiroptera",4,46,2,16,46.22327,-20.28436
"3163","Mops midas","midas","Mops","Molossidae","Chiroptera",5,78,4,15,44.33021,-22.34631
"3164","Mops mops","mops","Mops","Molossidae","Chiroptera",29,389,28,42,NA,NA
"3165","Mops nanulus","nanulus","Mops","Molossidae","Chiroptera",0,0,0,NA,20,3.000457
"3166","Mops niangarae","niangarae","Mops","Molossidae","Chiroptera",0,0,0,NA,27,3
"3167","Mops niveiventer","niveiventer","Mops","Molossidae","Chiroptera",1,6,1,8,27.49983,-13.01412
"3168","Mops petersoni","petersoni","Mops","Molossidae","Chiroptera",0,0,0,NA,11,3.000457
"3169","Mops sarasinorum","sarasinorum","Mops","Molossidae","Chiroptera",0,0,0,NA,15,-5.000764
"3170","Mops spurrelli","spurrelli","Mops","Molossidae","Chiroptera",1,4,1,25,-2.663402,5.669967
"3171","Mops thersites","thersites","Mops","Molossidae","Chiroptera",2,19,1,22,-2.99633,6.003671
"3172","Mops trevori","trevori","Mops","Molossidae","Chiroptera",0,0,0,NA,31,2.00122
"3173","Mormoops blainvillei","blainvillei","Mormoops","Mormoopidae","Chiroptera",10,144,5,46,-71.90341,18.79219
"3174","Mormoops megalophylla","megalophylla","Mormoops","Mormoopidae","Chiroptera",38,517,29,58,-100.1259,21.43768
"3175","Mormopterus acetabulosus","acetabulosus","Mormopterus","Molossidae","Chiroptera",2,31,2,14,56,-21.00335
"3176","Mormopterus beccarii","beccarii","Mormopterus","Molossidae","Chiroptera",3,6,3,36,115,-23.0037
"3177","Mormopterus doriae","doriae","Mormopterus","Molossidae","Chiroptera",0,0,0,NA,NA,NA
"3178","Mormopterus eleryi","eleryi","Mormopterus","Molossidae","Chiroptera",2,15,2,14,NA,NA
"3179","Mormopterus francoismoutoui","francoismoutoui","Mormopterus","Molossidae","Chiroptera",5,84,5,7,55,-21
"3180","Mormopterus halli","halli","Mormopterus","Molossidae","Chiroptera",0,0,0,NA,NA,NA
"3181","Mormopterus jugularis","jugularis","Mormopterus","Molossidae","Chiroptera",8,129,6,16,45.89108,-21.98252
"3182","Mormopterus kitcheneri","kitcheneri","Mormopterus","Molossidae","Chiroptera",0,0,0,NA,NA,NA
"3183","Mormopterus loriae","loriae","Mormopterus","Molossidae","Chiroptera",1,3,1,11,153,-27.00445
"3184","Mormopterus lumsdenae","lumsdenae","Mormopterus","Molossidae","Chiroptera",0,0,0,NA,NA,NA
"3185","Mormopterus minutus","minutus","Mormopterus","Molossidae","Chiroptera",1,10,1,11,-77.50531,21.5114
"3186","Mormopterus norfolkensis","norfolkensis","Mormopterus","Molossidae","Chiroptera",8,150,7,26,151.4607,-31.75225
"3187","Mormopterus phrudus","phrudus","Mormopterus","Molossidae","Chiroptera",0,0,0,NA,NA,NA
"3188","Mormopterus planiceps","planiceps","Mormopterus","Molossidae","Chiroptera",5,159,4,35,143,-36.02538
"3189","Moschiola indica","indica","Moschiola","Tragulidae","Artiodactyla",7,69,6,12,73,18.01135
"3190","Moschiola kathygre","kathygre","Moschiola","Tragulidae","Artiodactyla",0,0,0,NA,81,7
"3191","Moschiola meminna","meminna","Moschiola","Tragulidae","Artiodactyla",5,68,5,10,80.33442,7.671103
"3192","Moschus anhuiensis","anhuiensis","Moschus","Moschidae","Artiodactyla",4,28,4,23,NA,NA
"3193","Moschus berezovskii","berezovskii","Moschus","Moschidae","Artiodactyla",111,853,68,32,107,34.02356
"3194","Moschus chrysogaster","chrysogaster","Moschus","Moschidae","Artiodactyla",95,1043,65,36,103,36.02538
"3195","Moschus cupreus","cupreus","Moschus","Moschidae","Artiodactyla",7,20,5,11,NA,NA
"3196","Moschus fuscus","fuscus","Moschus","Moschidae","Artiodactyla",2,136,2,19,NA,NA
"3197","Moschus leucogaster","leucogaster","Moschus","Moschidae","Artiodactyla",14,55,12,8,90,27.00445
"3198","Moschus moschiferus","moschiferus","Moschus","Moschidae","Artiodactyla",66,513,50,146,93,25.00407
"3199","Mosia nigrescens","nigrescens","Mosia","Emballonuridae","Chiroptera",3,30,3,14,147,-2.00122
"3200","Mungos gambianus","gambianus","Mungos","Herpestidae","Carnivora",1,27,1,20,-2,7.001072
"3201","Mungos mungo","mungo","Mungos","Herpestidae","Carnivora",134,3094,68,55,28.68109,-21.57448
"3202","Mungotictis decemlineata","decemlineata","Mungotictis","Eupleridae","Carnivora",11,66,11,36,45,-20.01271
"3203","Muntiacus atherodes","atherodes","Muntiacus","Cervidae","Artiodactyla",4,103,4,22,118,5.000764
"3204","Muntiacus crinifrons","crinifrons","Muntiacus","Cervidae","Artiodactyla",42,294,26,42,NA,NA
"3205","Muntiacus feae","feae","Muntiacus","Cervidae","Artiodactyla",7,125,6,39,99,13
"3206","Muntiacus gongshanensis","gongshanensis","Muntiacus","Cervidae","Artiodactyla",4,20,4,16,97,28.01857
"3207","Muntiacus montanus","montanus","Muntiacus",NA,NA,0,0,0,NA,NA,NA
"3208","Muntiacus muntjak","muntjak","Muntiacus","Cervidae","Artiodactyla",272,7267,147,52,-1.410778,51.8435
"3209","Muntiacus puhoatensis","puhoatensis","Muntiacus","Cervidae","Artiodactyla",0,0,0,NA,NA,NA
"3210","Muntiacus putaoensis","putaoensis","Muntiacus","Cervidae","Artiodactyla",6,82,6,23,NA,NA
"3211","Muntiacus reevesi","reevesi","Muntiacus","Cervidae","Artiodactyla",172,3233,87,52,0.2289259,51.79277
"3212","Muntiacus rooseveltorum","rooseveltorum","Muntiacus","Cervidae","Artiodactyla",4,112,4,37,101,21
"3213","Muntiacus truongsonensis","truongsonensis","Muntiacus","Cervidae","Artiodactyla",2,74,2,24,107,17
"3214","Muntiacus vaginalis","vaginalis","Muntiacus","Cervidae","Artiodactyla",15,54,11,24,100.1134,15.7138
"3215","Muntiacus vuquangensis","vuquangensis","Muntiacus","Cervidae","Artiodactyla",4,89,4,25,105,19
"3216","Murexia habbema","habbema","Murexia","Dasyuridae","Dasyuromorphia",1,3,1,12,141,-5
"3217","Murexia longicaudata","longicaudata","Murexia","Dasyuridae","Dasyuromorphia",8,83,5,33,135,-7.001072
"3218","Murexia melanurus","melanurus","Murexia","Dasyuridae","Dasyuromorphia",2,3,2,12,146,-7.001072
"3219","Murexia naso","naso","Murexia","Dasyuridae","Dasyuromorphia",1,3,1,12,145,-7
"3220","Murexia rothschildi","rothschildi","Murexia","Dasyuridae","Dasyuromorphia",2,20,1,15,NA,NA
"3221","Muriculus imberbis","imberbis","Muriculus","Muridae","Rodentia",3,134,3,46,37.66831,12.3402
"3222","Murina aenea","aenea","Murina","Vespertilionidae","Chiroptera",3,42,3,16,116,5.000764
"3223","Murina annamitica","annamitica","Murina","Vespertilionidae","Chiroptera",1,7,1,7,102,21.00335
"3224","Murina aurata","aurata","Murina","Vespertilionidae","Chiroptera",5,77,4,42,105,20.37024
"3225","Murina balaensis","balaensis","Murina","Vespertilionidae","Chiroptera",0,0,0,NA,NA,NA
"3226","Murina beelzebub","beelzebub","Murina","Vespertilionidae","Chiroptera",0,0,0,NA,107,17
"3227","Murina bicolor","bicolor","Murina","Vespertilionidae","Chiroptera",0,0,0,NA,121,24.01555
"3228","Murina chrysochaetes","chrysochaetes","Murina","Vespertilionidae","Chiroptera",1,3,1,6,105,23
"3229","Murina cineracea","cineracea","Murina","Vespertilionidae","Chiroptera",0,0,0,NA,NA,NA
"3230","Murina cyclotis","cyclotis","Murina","Vespertilionidae","Chiroptera",15,203,9,25,104.5615,18.52249
"3231","Murina eleryi","eleryi","Murina","Vespertilionidae","Chiroptera",3,17,3,8,105,18.01135
"3232","Murina fionae","fionae","Murina","Vespertilionidae","Chiroptera",0,0,0,NA,105.6641,17.67702
"3233","Murina florium","florium","Murina","Vespertilionidae","Chiroptera",5,26,5,26,147,-8.004908
"3234","Murina fusca","fusca","Murina","Vespertilionidae","Chiroptera",0,0,0,NA,NA,NA
"3235","Murina gracilis","gracilis","Murina","Vespertilionidae","Chiroptera",3,32,2,9,121,24.01555
"3236","Murina guilleni","guilleni","Murina","Vespertilionidae","Chiroptera",0,0,0,NA,99,7
"3237","Murina harpioloides","harpioloides","Murina","Vespertilionidae","Chiroptera",0,0,0,NA,109,13
"3238","Murina harrisoni","harrisoni","Murina","Vespertilionidae","Chiroptera",3,27,3,12,107,13.00201
"3239","Murina hilgendorfi","hilgendorfi","Murina","Vespertilionidae","Chiroptera",11,38,10,11,139.6723,36.35659
"3240","Murina huttoni","huttoni","Murina","Vespertilionidae","Chiroptera",5,68,4,60,108.3314,14.34137
"3241","Murina jaintiana","jaintiana","Murina","Vespertilionidae","Chiroptera",0,0,0,NA,92,25.00407
"3242","Murina leucogaster","leucogaster","Murina","Vespertilionidae","Chiroptera",23,405,22,41,132,35.00611
"3243","Murina loreliae","loreliae","Murina","Vespertilionidae","Chiroptera",0,0,0,NA,NA,NA
"3244","Murina peninsularis","peninsularis","Murina","Vespertilionidae","Chiroptera",1,2,1,4,101.3972,5.406136
"3245","Murina pluvialis","pluvialis","Murina","Vespertilionidae","Chiroptera",1,1,1,1,91,25
"3246","Murina puta","puta","Murina","Vespertilionidae","Chiroptera",2,19,2,20,121,23.03338
"3247","Murina recondita","recondita","Murina","Vespertilionidae","Chiroptera",1,12,1,7,121,24.01555
"3248","Murina rozendaali","rozendaali","Murina","Vespertilionidae","Chiroptera",3,54,2,16,116.3341,5.669967
"3249","Murina ryukyuana","ryukyuana","Murina","Vespertilionidae","Chiroptera",3,3,3,1,NA,NA
"3250","Murina shuipuensis","shuipuensis","Murina","Vespertilionidae","Chiroptera",2,5,2,6,107,25
"3251","Murina suilla","suilla","Murina","Vespertilionidae","Chiroptera",6,111,4,17,100.9951,6.011029
"3252","Murina tenebrosa","tenebrosa","Murina","Vespertilionidae","Chiroptera",1,2,1,1,NA,NA
"3253","Murina tiensa","tiensa","Murina","Vespertilionidae","Chiroptera",2,22,2,11,NA,NA
"3254","Murina tubinaris","tubinaris","Murina","Vespertilionidae","Chiroptera",4,151,4,60,104.1087,20.59116
"3255","Murina ussuriensis","ussuriensis","Murina","Vespertilionidae","Chiroptera",11,167,9,18,141.6632,47.39609
"3256","Murina walstoni","walstoni","Murina","Vespertilionidae","Chiroptera",0,0,0,NA,99,17
"3257","Mus baoulei","baoulei","Mus","Muridae","Rodentia",4,72,4,14,2.144475,9.59205
"3258","Mus booduga","booduga","Mus","Muridae","Rodentia",115,1029,66,49,87.97604,26.77343
"3259","Mus bufo","bufo","Mus","Muridae","Rodentia",2,11,2,9,29.66612,-1.337286
"3260","Mus callewaerti","callewaerti","Mus","Muridae","Rodentia",1,9,1,8,17,-11.0017
"3261","Mus caroli","caroli","Mus","Muridae","Rodentia",149,3680,103,50,104.3359,17.67702
"3262","Mus cervicolor","cervicolor","Mus","Muridae","Rodentia",44,1128,31,49,102,15.52186
"3263","Mus cookii","cookii","Mus","Muridae","Rodentia",13,427,13,42,84.99072,28.01857
"3264","Mus crociduroides","crociduroides","Mus","Muridae","Rodentia",0,0,0,NA,101,-1
"3265","Mus cypriacus","cypriacus","Mus","Muridae","Rodentia",2,80,2,16,NA,NA
"3266","Mus famulus","famulus","Mus","Muridae","Rodentia",8,328,8,21,-69,-15.00234
"3267","Mus fernandoni","fernandoni","Mus","Muridae","Rodentia",0,0,0,NA,NA,NA
"3268","Mus fragilicauda","fragilicauda","Mus","Muridae","Rodentia",4,145,4,19,NA,NA
"3269","Mus goundae","goundae","Mus","Muridae","Rodentia",2,26,2,52,NA,NA
"3270","Mus haussa","haussa","Mus","Muridae","Rodentia",1,9,1,8,1.360381,11.03413
"3271","Mus indutus","indutus","Mus","Muridae","Rodentia",6,65,6,32,18.04982,-21.06776
"3272","Mus macedonicus","macedonicus","Mus","Muridae","Rodentia",54,999,42,32,45.98683,37.04611
