"","genus_species","species","genus","family","order","publications","citations","journals","years_publishing","x","y"
"154","Alouatta nigerrima","nigerrima","Alouatta","Atelidae","Primates",51,1018,32,52,-57.0000000000003,-5.00076357997977
"155","Alouatta palliata","palliata","Alouatta","Atelidae","Primates",331,9465,99,62,-85.6093407897283,12.229935091629
"156","Alouatta pigra","pigra","Alouatta","Atelidae","Primates",200,4870,71,39,-90.0859013495731,18.1269443561873
"157","Alouatta puruensis","puruensis","Alouatta",NA,NA,2,31,2,9,NA,NA
"158","Alouatta sara","sara","Alouatta","Atelidae","Primates",8,313,8,20,-68.6565361505019,-13.6824668106375
"159","Alouatta seniculus","seniculus","Alouatta","Atelidae","Primates",229,7495,99,58,-74.3890147863003,5.11759477082132
"160","Alouatta ululata","ululata","Alouatta","Atelidae","Primates",5,108,5,16,-41,-3
"161","Alticola albicaudus","albicaudus","Alticola","Cricetidae","Rodentia",0,0,0,NA,77,35
"162","Alticola argentatus","argentatus","Alticola","Cricetidae","Rodentia",10,44,9,44,70.3398771197051,39.693572194381
"163","Alticola barakshin","barakshin","Alticola","Cricetidae","Rodentia",1,12,1,22,92.9456352696253,47.3357223145639
"164","Alticola lemminus","lemminus","Alticola","Cricetidae","Rodentia",4,17,4,44,140.999999999999,39.0070679488901
"165","Alticola macrotis","macrotis","Alticola","Cricetidae","Rodentia",7,79,7,36,160.999999999991,61.0157491901575
"166","Alticola montosa","montosa","Alticola","Cricetidae","Rodentia",0,0,0,NA,75.0000000000006,34.0235600163588
"167","Alticola olchonensis","olchonensis","Alticola","Cricetidae","Rodentia",3,8,3,22,NA,NA
"168","Alticola roylei","roylei","Alticola","Cricetidae","Rodentia",7,70,7,55,157,-8.00490832203992
"169","Alticola semicanus","semicanus","Alticola","Cricetidae","Rodentia",3,50,3,15,102,47.0093601902588
"170","Alticola stoliczkanus","stoliczkanus","Alticola","Cricetidae","Rodentia",5,75,5,33,78.3281195471604,34.3549301073094
"171","Alticola strelzowi","strelzowi","Alticola","Cricetidae","Rodentia",10,55,9,16,90.9846765502396,48.6776676621113
"172","Alticola tuvinicus","tuvinicus","Alticola","Cricetidae","Rodentia",6,8,4,30,89.9999999999996,49.0100411447026
"173","Amblysomus corriae","corriae","Amblysomus","Chrysochloridae",NA,1,8,1,7,23,-34.0235600163586
"174","Amblysomus hottentotus","hottentotus","Amblysomus","Chrysochloridae",NA,23,246,20,44,30.6611394297277,-29.3658493970861
"175","Amblysomus marleyi","marleyi","Amblysomus","Chrysochloridae",NA,1,8,1,7,33,-27
"176","Amblysomus robustus","robustus","Amblysomus","Chrysochloridae",NA,1,8,1,7,31,-25
"177","Amblysomus septentrionalis","septentrionalis","Amblysomus","Chrysochloridae",NA,2,12,2,22,29,-29
"178","Ametrida centurio","centurio","Ametrida","Phyllostomidae","Chiroptera",3,49,3,16,-56.2722433942007,3.1858314174145
"179","Ammodillus imbellis","imbellis","Ammodillus","Muridae","Rodentia",2,15,1,54,NA,NA
"180","Ammodorcas clarkei","clarkei","Ammodorcas","Bovidae","Artiodactyla",1,92,1,26,45.4984683465023,6.50968270036937
"181","Ammospermophilus harrisii","harrisii","Ammospermophilus","Sciuridae","Rodentia",6,1185,6,60,-111.924981377909,32.7000298372835
